GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache PDFBox,org.apache.pdfbox.pdfwriter.compress,CompressParameters,5,32,1,3,1,10,1,6,0,5
Apache PDFBox,org.apache.pdfbox.pdfwriter.compress,COSWriterCompressionPool,10,416,11,79,3,97,11,47,0,13
Apache PDFBox,org.apache.pdfbox.pdfwriter.compress,COSObjectPool,19,119,8,12,3,26,7,10,0,7
Apache PDFBox,org.apache.pdfbox.pdfwriter.compress,COSWriterObjectStream.DirectAccessByteArrayOutputStream,0,9,0,0,0,2,0,2,0,2
Apache PDFBox,org.apache.pdfbox.pdfwriter.compress,COSWriterObjectStream,45,424,14,40,11,115,12,30,0,15
Apache PDFBox,org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible,PDFTemplateCreator,241,0,0,0,58,0,5,0,5,0
Apache PDFBox,org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible,PDVisibleSigBuilder,666,0,2,0,181,0,33,0,32,0
Apache PDFBox,org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible,PDVisibleSignDesigner,716,0,6,0,128,0,44,0,40,0
Apache PDFBox,org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible,PDVisibleSigProperties,82,0,0,0,29,0,18,0,18,0
Apache PDFBox,org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible,PDFTemplateStructure,192,0,0,0,82,0,55,0,55,0
Apache PDFBox,org.apache.pdfbox.pdfwriter,COSWriter,523,2191,80,208,95,540,69,136,7,54
Apache PDFBox,org.apache.pdfbox.pdfwriter,ContentStreamWriter,22,325,3,31,6,77,5,21,2,7
Apache PDFBox,org.apache.pdfbox.pdfwriter,COSStandardOutputStream,4,104,0,2,2,28,1,11,1,10
Apache PDFBox,org.apache.pdfbox.pdmodel.interactive.form,PDComboBox,13,35,0,2,3,11,2,4,2,3
Apache PDFBox,org.apache.pdfbox.pdmodel.interactive.form,PDTerminalField,66,146,10,16,16,41,11,12,2,8
Apache PDFBox,org.apache.pdfbox.pdmodel.interactive.form,PDFieldTree,5,18,1,1,1,6,1,3,0,3
Apache PDFBox,org.apache.pdfbox.pdmodel.interactive.form,PDFieldFactory,17,159,8,24,4,31,7,13,0,4
Apache PDFBox,org.apache.pdfbox.pdmodel.interactive.form,PDListBox,0,39,0,2,0,12,0,6,0,5
Apache PDFBox,org.apache.pdfbox.pdmodel.interactive.form,PDChoice,61,306,10,32,15,78,17,31,7,20
Apache PDFBox,org.apache.pdfbox.pdmodel.interactive.form,PDAcroForm,246,717,37,83,59,168,42,63,16,29
Apache PDFBox,org.apache.pdfbox.pdmodel.interactive.form,FieldUtils.KeyValue,6,15,0,0,1,6,1,3,1,3
Apache PDFBox,org.apache.pdfbox.pdmodel.interactive.form,AppearanceGeneratorHelper,220,1566,43,147,60,353,37,85,0,26
Apache PDFBox,org.apache.pdfbox.pdmodel.interactive.form,PDVariableText,40,120,7,13,11,34,8,14,3,9
Apache PDFBox,org.apache.pdfbox.pdmodel.interactive.form,PDDefaultAppearanceString,41,211,8,23,11,69,9,23,1,14
Apache PDFBox,org.apache.pdfbox.pdmodel.interactive.form,PDField,202,164,29,19,45,45,31,18,12,13
Apache PDFBox,org.apache.pdfbox.pdmodel.interactive.form,FieldUtils,22,107,6,14,6,22,7,8,1,4
Apache PDFBox,org.apache.pdfbox.pdmodel.interactive.form,PDCheckBox,8,62,4,6,4,16,5,6,1,5
Apache PDFBox,org.apache.pdfbox.pdmodel.interactive.form,PDNonTerminalField,164,58,18,6,43,15,23,5,12,4
Apache PDFBox,org.apache.pdfbox.pdmodel.interactive.form,PDPushButton,22,17,4,0,8,6,8,3,6,3
Apache PDFBox,org.apache.pdfbox.pdmodel.interactive.form,PDButton,14,398,12,50,5,110,12,38,0,19
Apache PDFBox,org.apache.pdfbox.pdmodel.interactive.form,PDTextField,52,104,0,0,14,26,8,16,8,16
Apache PDFBox,org.apache.pdfbox.pdmodel.interactive.form,PDRadioButton,7,94,0,10,2,26,1,10,1,5
Apache PDFBox,org.apache.pdfbox.pdmodel.interactive.form,PDSignatureField,119,64,23,1,27,17,22,5,10,5
Apache PDFBox,org.apache.pdfbox.pdmodel.interactive.form,PDXFAResource,77,0,8,0,19,0,10,0,6,0
Apache PDFBox,org.apache.pdfbox.pdmodel.interactive.form,PDFieldTree.FieldIterator,8,92,1,11,2,23,2,9,1,4
Apache PDFBox,org.apache.pdfbox.contentstream.operator.state,SetLineMiterLimit,7,26,2,2,2,8,2,3,0,3
Apache PDFBox,org.apache.pdfbox.contentstream.operator.state,SetLineWidth,7,26,2,2,2,8,2,3,0,3
Apache PDFBox,org.apache.pdfbox.contentstream.operator.state,Concatenate,7,68,2,2,2,15,2,3,0,3
Apache PDFBox,org.apache.pdfbox.contentstream.operator.state,SetMatrix,7,72,2,2,2,17,2,3,0,3
Apache PDFBox,org.apache.pdfbox.contentstream.operator.state,SetGraphicsStateParameters,7,45,2,4,2,15,2,5,0,4
Apache PDFBox,org.apache.pdfbox.contentstream.operator.state,SetLineJoinStyle,7,26,2,2,2,8,2,3,0,3
Apache PDFBox,org.apache.pdfbox.contentstream.operator.state,SetLineCapStyle,7,26,2,2,2,8,2,3,0,3
Apache PDFBox,org.apache.pdfbox.contentstream.operator.state,SetFlatness,7,27,2,2,2,8,2,3,0,3
Apache PDFBox,org.apache.pdfbox.contentstream.operator.state,SetRenderingIntent,7,26,2,2,2,9,2,3,0,3
Apache PDFBox,org.apache.pdfbox.contentstream.operator.state,SetLineDashPattern,19,65,5,7,8,18,5,5,0,4
Apache PDFBox,org.apache.pdfbox.contentstream.operator.state,EmptyGraphicsStackException,4,0,0,0,2,0,1,0,1,0
Apache PDFBox,org.apache.pdfbox.contentstream.operator.state,Restore,4,17,1,1,1,7,1,3,0,3
Apache PDFBox,org.apache.pdfbox.contentstream.operator.state,Save,0,10,0,0,0,5,0,3,0,3
Apache PDFBox,org.apache.pdfbox.pdfparser,EndstreamFilterStream,5,177,9,31,0,40,8,15,0,3
Apache PDFBox,org.apache.pdfbox.pdfparser,XrefParser,223,903,47,85,64,208,41,40,0,15
Apache PDFBox,org.apache.pdfbox.pdfparser,XrefTrailerResolver.XRefType,0,15,0,0,0,3,0,1,0,1
Apache PDFBox,org.apache.pdfbox.pdfparser,PDFXrefStreamParser,44,278,11,25,10,49,11,13,0,6
Apache PDFBox,org.apache.pdfbox.pdfparser,BaseParser,85,573,19,105,19,161,18,73,0,25
Apache PDFBox,org.apache.pdfbox.pdfparser,PDFXrefStreamParser.ObjectNumbers,17,166,6,14,4,32,6,7,0,3
